Diet,Transport,Electricity Usage (kWh),Vehicle Type,Vehicle Monthly Distance Km,Heating Energy Source,Energy efficiency,How Long TV PC Daily Hour,How Long Internet Daily Hour,Waste Bag Size,Waste Bag Weekly Count,How Many New Clothes Monthly,Frequency of Traveling by Air,CarbonEmission
vegan,private,40.5,electric,8659,natural gas,Yes,8,11,large,1,10,never,926
omnivore,private,15,electric,5230,natural gas,Sometimes,5,0,medium,3,6,rarely,914
vegetarian,private,31.5,lpg,6160,wood,No,1,19,large,2,8,rarely,2988
pescatarian,private,55.5,hybrid,5469,wood,No,16,5,medium,4,5,frequently,2335
vegetarian,private,61.5,electric,6028,coal,No,11,19,extra large,3,12,frequently,1884
vegan,private,25.5,lpg,1669,wood,Sometimes,1,15,small,3,18,rarely,1505
vegan,private,48,lpg,8061,coal,Sometimes,14,4,small,7,18,very frequently,4580
vegan,private,108,lpg,2544,coal,Sometimes,24,24,extra large,7,50,never,2833
vegan,private,46.5,electric,4447,wood,Sometimes,12,7,extra large,4,43,frequently,2649
pescatarian,private,76.5,diesel,4303,wood,Yes,17,17,small,7,23,rarely,2706
vegan,private,72,lpg,3176,electricity,Sometimes,24,0,medium,5,16,very frequently,3045
pescatarian,private,1.5,diesel,7255,wood,Sometimes,0,1,small,2,50,rarely,3134
omnivore,private,93,petrol,6254,wood,Yes,21,20,small,6,45,very frequently,5013
vegan,private,31.5,petrol,8725,wood,Sometimes,10,1,large,7,46,very frequently,7159
vegan,private,60,lpg,8616,natural gas,Sometimes,12,16,extra large,7,2,never,4240
omnivore,private,43.5,electric,2914,coal,No,3,23,medium,1,13,never,1033
pescatarian,private,43.5,diesel,6972,electricity,No,3,23,medium,5,23,frequently,3483
pescatarian,private,40.5,petrol,9812,natural gas,No,5,17,large,3,31,very frequently,6515
pescatarian,private,49.5,lpg,3295,wood,No,11,11,large,1,34,rarely,2377
omnivore,private,61.5,electric,9705,wood,No,9,23,extra large,6,8,rarely,1874
vegan,private,27,diesel,3105,natural gas,Sometimes,8,2,small,6,38,rarely,1579
pescatarian,private,78,electric,5464,wood,No,19,14,small,1,45,rarely,1143
pescatarian,private,51,diesel,3912,wood,Sometimes,7,20,medium,6,41,never,2790
omnivore,private,52.5,hybrid,4359,wood,No,15,5,medium,5,9,frequently,2338
pescatarian,private,72,diesel,7873,coal,No,21,6,large,7,44,rarely,3984
omnivore,private,87,hybrid,8641,natural gas,Sometimes,19,20,medium,4,3,rarely,2778
vegetarian,private,45,hybrid,2871,wood,Yes,15,0,large,1,35,rarely,1684
vegetarian,private,63,lpg,4197,coal,No,17,8,medium,4,28,very frequently,3559
vegetarian,private,7.5,electric,6915,wood,Sometimes,0,5,small,5,28,rarely,1203
vegetarian,private,72,electric,9359,coal,Yes,19,10,large,2,32,very frequently,2654
pescatarian,private,48,lpg,3509,coal,Sometimes,9,14,medium,7,33,very frequently,4103
omnivore,private,39,lpg,6731,coal,Yes,7,12,small,2,19,very frequently,4203
vegetarian,private,36,electric,159,electricity,No,4,16,extra large,7,33,frequently,2433
vegetarian,private,15,petrol,7976,coal,No,5,0,extra large,5,15,never,4483
vegan,private,63,lpg,4595,wood,Yes,16,10,medium,4,41,rarely,2590
vegetarian,private,43.5,diesel,2723,electricity,No,6,17,large,7,28,rarely,2664
vegan,private,48,petrol,4910,wood,Sometimes,5,22,extra large,5,40,never,2991
pescatarian,private,67.5,diesel,4425,natural gas,Sometimes,11,23,medium,2,13,rarely,3127
vegetarian,private,49.5,hybrid,7434,coal,Yes,14,5,medium,6,14,rarely,2486
omnivore,private,54,petrol,7258,electricity,No,9,18,large,1,27,frequently,5082
vegan,private,78,electric,1170,coal,Yes,15,22,small,1,1,never,1009
omnivore,private,61.5,hybrid,6890,wood,Yes,15,11,small,2,39,never,2134
vegetarian,private,102,electric,1695,natural gas,Yes,22,24,small,6,31,never,1177
pescatarian,private,69,electric,5671,electricity,Yes,16,14,small,4,45,frequently,1814
omnivore,private,46.5,electric,8553,electricity,Yes,6,19,medium,6,44,never,1284
omnivore,private,69,lpg,5005,natural gas,Yes,20,6,large,6,37,never,2600
vegan,private,61.5,hybrid,7570,natural gas,No,14,13,extra large,2,48,rarely,2845
vegan,private,30,hybrid,8298,natural gas,Sometimes,4,12,large,2,12,rarely,2152
pescatarian,private,46.5,electric,3216,coal,Sometimes,5,21,small,1,20,very frequently,2577
omnivore,private,22.5,lpg,9945,coal,Yes,1,13,medium,3,9,rarely,4220
omnivore,private,43.5,electric,95,coal,Yes,9,11,small,5,15,very frequently,3294
vegan,private,22.5,diesel,1467,coal,Sometimes,7,1,small,6,28,very frequently,3243
pescatarian,private,84,hybrid,2787,electricity,Yes,21,14,large,2,16,never,1126
omnivore,private,72,electric,3347,electricity,Yes,24,0,medium,4,40,frequently,1954
pescatarian,private,91.5,petrol,9006,electricity,Sometimes,19,23,small,4,46,frequently,5547
vegan,private,58.5,diesel,4058,wood,No,11,17,extra large,3,14,rarely,2233
vegetarian,private,33,electric,2698,coal,Yes,9,4,medium,1,50,never,2027
pescatarian,private,34.5,electric,1580,natural gas,Sometimes,2,19,large,5,19,never,1543
omnivore,private,97.5,lpg,5541,wood,Sometimes,24,17,small,3,0,rarely,2522
omnivore,private,15,petrol,7014,electricity,Sometimes,1,8,large,2,10,rarely,3996
vegan,private,25.5,petrol,1644,coal,Yes,3,11,small,3,27,never,2235
vegan,private,58.5,petrol,4383,electricity,Sometimes,9,21,small,2,6,very frequently,4311
omnivore,private,73.5,petrol,5954,natural gas,No,14,21,extra large,4,11,never,3419
vegetarian,private,66,diesel,9258,wood,Yes,12,20,small,4,20,rarely,3713
vegan,private,78,electric,2041,natural gas,Sometimes,17,18,large,1,0,frequently,1484
omnivore,private,4.5,electric,2033,coal,Sometimes,1,1,extra large,7,40,never,2517
omnivore,private,81,electric,7926,wood,No,19,16,extra large,5,7,never,1644
omnivore,private,72,hybrid,8497,coal,Sometimes,22,4,small,6,23,rarely,2813
vegan,private,84,petrol,5323,wood,Sometimes,16,24,extra large,3,3,rarely,2779
vegan,private,42,lpg,7153,natural gas,Sometimes,6,16,extra large,7,17,frequently,5044
vegan,private,100.5,lpg,2864,coal,Sometimes,24,19,extra large,7,47,frequently,3745
vegan,private,82.5,hybrid,6029,coal,Sometimes,20,15,medium,3,33,rarely,3084
pescatarian,private,57,electric,825,wood,Yes,17,4,extra large,7,21,frequently,2280
vegan,private,16.5,diesel,704,coal,Sometimes,4,3,large,6,23,frequently,2130
omnivore,private,64.5,hybrid,2514,natural gas,Sometimes,20,3,large,5,45,rarely,2224
omnivore,private,16.5,petrol,3208,natural gas,No,5,1,medium,2,9,very frequently,3058
vegetarian,private,12,hybrid,9842,electricity,Sometimes,4,0,extra large,4,46,never,2956
omnivore,private,49.5,petrol,7953,electricity,No,15,3,large,7,21,never,4357
omnivore,private,21,hybrid,1844,coal,No,4,6,extra large,6,9,frequently,2250
pescatarian,private,93,lpg,4397,natural gas,Yes,23,16,small,6,1,very frequently,4031
pescatarian,private,70.5,lpg,6419,coal,Sometimes,16,15,large,6,24,frequently,4445
pescatarian,private,34.5,lpg,7008,coal,No,3,17,large,4,28,very frequently,5133
vegan,private,48,electric,1072,electricity,Yes,12,8,large,3,19,rarely,1086
vegan,private,24,electric,9316,natural gas,Yes,8,0,medium,3,29,rarely,1790
vegetarian,private,58.5,lpg,9507,natural gas,No,13,13,large,5,35,very frequently,6621
vegetarian,private,91.5,diesel,1899,natural gas,No,22,17,large,6,24,rarely,1900
pescatarian,private,55.5,lpg,4809,electricity,Sometimes,13,11,large,4,33,very frequently,4031
omnivore,private,69,electric,3610,natural gas,No,12,22,small,2,37,frequently,1733
omnivore,private,51,electric,5696,wood,Sometimes,11,12,large,4,45,rarely,1645
omnivore,private,61.5,electric,9746,coal,No,19,3,large,5,25,rarely,1660
vegetarian,private,34.5,petrol,3315,coal,Yes,7,9,small,6,36,very frequently,3973
omnivore,private,52.5,petrol,7885,coal,Yes,6,23,extra large,6,18,very frequently,6810
vegetarian,private,75,lpg,2916,natural gas,No,21,8,extra large,5,42,never,2393
pescatarian,private,72,hybrid,3805,wood,Yes,14,20,large,2,15,very frequently,3171
vegetarian,private,75,lpg,7958,coal,Sometimes,13,24,large,6,46,never,3492
vegetarian,private,39,lpg,8198,coal,No,5,16,extra large,2,21,rarely,4612
omnivore,private,49.5,electric,1401,electricity,Yes,16,1,extra large,2,33,rarely,766
vegan,private,64.5,lpg,4293,electricity,No,19,5,medium,6,8,never,2297
omnivore,private,64.5,diesel,5235,wood,No,15,13,small,2,37,very frequently,3670
pescatarian,private,33,lpg,1771,wood,Yes,5,12,extra large,3,8,never,1608
vegetarian,private,63,lpg,8358,wood,Sometimes,16,10,extra large,5,20,frequently,3941
omnivore,private,76.5,lpg,3800,coal,Sometimes,23,5,small,7,8,rarely,2126
omnivore,private,48,lpg,7468,coal,No,5,22,extra large,7,47,rarely,4422
pescatarian,private,66,lpg,732,wood,No,10,24,small,7,46,rarely,2262
omnivore,private,63,lpg,196,natural gas,No,16,10,extra large,4,8,never,1662
pescatarian,private,46.5,hybrid,5393,coal,Yes,13,5,large,3,2,rarely,2303
vegan,private,27,petrol,7749,coal,Sometimes,5,8,medium,5,20,very frequently,6069
pescatarian,private,18,hybrid,2761,electricity,Yes,2,8,extra large,3,1,very frequently,2188
vegan,private,58.5,electric,9445,coal,No,12,15,extra large,5,20,very frequently,3779
vegan,private,69,electric,6726,natural gas,Yes,15,16,small,7,6,never,848
pescatarian,private,51,diesel,5287,wood,Yes,12,10,large,4,15,rarely,2801
pescatarian,private,34.5,diesel,4306,electricity,No,5,13,extra large,5,3,never,2207
pescatarian,private,55.5,diesel,555,wood,Yes,18,1,small,7,0,very frequently,2278
pescatarian,private,64.5,hybrid,6898,electricity,Sometimes,10,23,extra large,2,1,very frequently,2964
vegan,private,48,diesel,5413,electricity,Yes,16,0,large,2,38,rarely,2108
vegetarian,private,66,petrol,5499,coal,Sometimes,21,2,small,4,27,rarely,3800
omnivore,private,31.5,lpg,8786,natural gas,No,7,7,medium,2,40,never,3266
pescatarian,private,67.5,hybrid,5310,wood,Yes,14,17,small,1,42,rarely,2288
omnivore,private,76.5,hybrid,8809,coal,Yes,18,15,medium,5,37,frequently,3799
vegan,private,10.5,electric,9285,electricity,No,3,1,large,6,45,never,1616
omnivore,private,87,hybrid,9352,coal,Sometimes,21,16,extra large,6,28,very frequently,5015
pescatarian,private,78,electric,8920,coal,Yes,23,6,large,2,32,frequently,2179
pescatarian,private,40.5,petrol,5278,wood,Sometimes,8,11,extra large,3,15,never,3312
pescatarian,private,55.5,lpg,7148,coal,Yes,10,17,small,7,43,frequently,3633
omnivore,private,31.5,lpg,9014,wood,Yes,1,19,extra large,3,4,very frequently,3949
vegan,private,49.5,hybrid,6180,coal,Sometimes,13,7,large,7,49,very frequently,3958
omnivore,private,76.5,diesel,8717,electricity,No,21,9,small,6,37,rarely,3635
vegetarian,private,81,hybrid,9050,electricity,No,17,20,small,5,38,very frequently,4851
vegetarian,private,42,hybrid,1760,electricity,Yes,12,4,small,3,11,very frequently,2105
vegetarian,private,66,lpg,6482,natural gas,Yes,17,10,extra large,7,23,very frequently,5918
pescatarian,private,54,petrol,1614,electricity,Yes,6,24,small,3,48,very frequently,2612
pescatarian,private,55.5,lpg,4215,wood,Yes,14,9,large,4,45,rarely,2578
pescatarian,private,42,lpg,6127,natural gas,Yes,6,16,small,7,34,never,2467
omnivore,private,102,diesel,4084,natural gas,No,24,20,medium,3,45,never,2780
vegan,private,48,lpg,2266,wood,Yes,10,12,large,3,44,rarely,2727
omnivore,private,51,hybrid,3849,natural gas,Yes,14,6,small,7,7,rarely,1423
omnivore,private,75,diesel,9445,electricity,Sometimes,20,10,large,3,17,rarely,3582
pescatarian,private,72,diesel,4197,electricity,No,16,16,small,2,48,very frequently,3538
omnivore,private,58.5,hybrid,1720,electricity,No,10,19,large,1,24,rarely,1387
pescatarian,private,49.5,petrol,601,wood,Sometimes,15,3,small,4,30,very frequently,2729
omnivore,private,15,electric,6894,wood,Yes,0,10,small,7,15,very frequently,2026
vegan,private,57,electric,5442,electricity,Sometimes,9,20,large,3,20,very frequently,2522
pescatarian,private,78,lpg,3388,coal,No,16,20,large,3,22,very frequently,3559
omnivore,private,51,diesel,5698,coal,Sometimes,17,0,medium,1,28,never,2790
pescatarian,private,52.5,hybrid,6716,natural gas,Yes,7,21,large,3,6,frequently,2999
pescatarian,private,39,diesel,3717,electricity,No,10,6,medium,5,5,very frequently,2899
pescatarian,private,42,hybrid,3745,electricity,Yes,5,18,extra large,1,23,frequently,2056
pescatarian,private,57,diesel,9915,natural gas,No,11,16,large,5,12,frequently,4122
omnivore,private,16.5,diesel,1181,coal,No,2,7,large,3,18,never,1888
vegan,private,63,lpg,4044,natural gas,Sometimes,10,22,large,2,6,frequently,2960
vegetarian,private,48,electric,5151,electricity,Sometimes,8,16,small,7,43,never,980
vegetarian,private,37.5,electric,5711,natural gas,Yes,10,5,extra large,4,48,rarely,1523
omnivore,private,24,hybrid,4670,coal,Yes,5,6,small,6,7,frequently,2551
pescatarian,private,55.5,hybrid,6862,coal,No,10,17,extra large,7,49,rarely,3198
vegan,private,69,petrol,8095,coal,No,14,18,medium,4,30,rarely,4960
vegan,private,70.5,diesel,2764,natural gas,Yes,16,15,small,1,39,never,1998
pescatarian,private,61.5,hybrid,2061,electricity,Sometimes,12,17,extra large,4,14,never,1734
omnivore,private,37.5,electric,8886,natural gas,No,8,9,extra large,3,13,very frequently,2797
vegan,private,9,lpg,1703,coal,No,2,2,large,7,46,rarely,2409
vegetarian,private,25.5,lpg,543,coal,Sometimes,4,9,small,7,34,never,1574
vegan,private,46.5,hybrid,7896,natural gas,No,13,5,medium,3,6,never,1559
vegan,private,40.5,lpg,5270,coal,Sometimes,6,15,extra large,1,33,rarely,3307
omnivore,private,52.5,petrol,1312,coal,Yes,6,23,medium,2,5,frequently,2544
vegetarian,private,52.5,electric,8798,coal,Yes,6,23,extra large,6,8,frequently,2161
vegan,private,51,petrol,9313,electricity,Yes,16,2,large,3,21,never,4257
vegan,private,67.5,petrol,6938,electricity,No,20,5,large,6,45,very frequently,5391
pescatarian,private,39,electric,5140,natural gas,Yes,10,6,medium,7,50,never,1884
vegetarian,private,78,hybrid,1545,natural gas,No,17,18,medium,3,36,rarely,1721
vegetarian,private,91.5,lpg,9964,natural gas,Yes,19,23,large,5,12,very frequently,4712
vegetarian,private,34.5,petrol,3430,electricity,Yes,8,7,large,6,28,frequently,3169
pescatarian,private,79.5,lpg,7993,wood,No,15,23,large,1,27,frequently,4042
vegan,private,55.5,diesel,4870,wood,Yes,11,15,extra large,2,37,very frequently,4631
pescatarian,private,9,electric,9123,wood,Yes,2,2,medium,4,44,frequently,2539
pescatarian,private,61.5,lpg,9070,wood,No,11,19,extra large,7,16,very frequently,6816
pescatarian,private,45,diesel,274,natural gas,Yes,8,14,large,1,30,rarely,2066
omnivore,private,36,lpg,8390,coal,Yes,7,10,extra large,7,20,never,4260
omnivore,private,81,diesel,3379,electricity,No,22,10,extra large,1,50,rarely,2128
vegetarian,private,55.5,hybrid,2215,electricity,Yes,11,15,medium,4,32,never,1562
vegetarian,private,82.5,electric,9206,electricity,No,24,7,medium,3,18,never,626
vegetarian,private,79.5,petrol,5475,electricity,No,18,17,small,5,13,rarely,3612
omnivore,private,78,diesel,9663,electricity,Sometimes,22,8,medium,3,21,rarely,4347
vegan,private,7.5,diesel,5774,wood,Yes,2,1,medium,7,8,very frequently,3222
pescatarian,private,87,electric,2062,wood,No,22,14,medium,6,19,never,1523
vegetarian,private,37.5,petrol,1741,natural gas,Sometimes,6,13,large,6,42,never,3325
vegan,private,27,diesel,5307,wood,Yes,9,0,large,4,24,frequently,2673
pescatarian,private,94.5,diesel,7952,natural gas,Yes,23,17,medium,3,5,very frequently,4496
omnivore,private,13.5,hybrid,2073,coal,Sometimes,4,1,small,4,24,rarely,2011
vegan,private,73.5,electric,9371,electricity,Sometimes,19,11,extra large,4,36,frequently,2209
pescatarian,private,78,electric,8250,wood,Yes,14,24,medium,4,42,very frequently,2901
vegetarian,private,55.5,diesel,6142,wood,Yes,13,11,extra large,4,17,very frequently,4173
pescatarian,private,34.5,electric,3657,electricity,No,1,21,large,7,20,never,1466
omnivore,private,72,petrol,3756,wood,Yes,13,22,extra large,6,42,frequently,3439
vegetarian,private,64.5,petrol,7918,electricity,Sometimes,14,15,extra large,1,32,frequently,4286
pescatarian,private,34.5,diesel,4757,wood,Yes,10,3,extra large,3,20,rarely,2272
omnivore,private,91.5,diesel,4411,electricity,No,20,21,small,1,44,rarely,2482
vegetarian,private,72,electric,5823,natural gas,Yes,19,10,medium,6,21,frequently,1644
vegetarian,private,55.5,petrol,9845,natural gas,Sometimes,9,19,extra large,6,37,never,4663
omnivore,private,55.5,diesel,6395,natural gas,No,17,3,large,2,13,frequently,3314
omnivore,private,97.5,hybrid,4288,electricity,Sometimes,23,19,medium,6,10,very frequently,3710
omnivore,private,84,electric,6654,natural gas,Yes,24,8,small,1,5,never,965
omnivore,private,55.5,petrol,5203,wood,Sometimes,14,9,medium,7,27,rarely,4151
pescatarian,private,24,lpg,2498,electricity,Yes,5,6,large,7,46,rarely,2521
vegetarian,private,31.5,electric,5145,natural gas,Sometimes,7,7,small,4,32,frequently,1930
pescatarian,private,25.5,hybrid,4595,natural gas,Yes,2,13,small,4,11,frequently,1866
pescatarian,private,51,lpg,6434,electricity,No,11,12,small,7,39,very frequently,4052
vegetarian,private,33,petrol,3291,natural gas,No,0,22,medium,5,4,rarely,2627
omnivore,private,60,diesel,189,natural gas,Yes,14,12,large,2,50,very frequently,2614
vegan,private,21,lpg,4037,natural gas,Yes,2,10,medium,7,35,frequently,2414
omnivore,private,85.5,lpg,2376,natural gas,No,24,9,medium,1,37,frequently,3488
vegetarian,private,57,electric,875,natural gas,No,16,6,medium,3,27,rarely,1283
pescatarian,private,30,petrol,3709,coal,Yes,4,12,small,3,41,never,2227
vegetarian,private,57,hybrid,75,coal,Sometimes,8,22,medium,1,20,frequently,2485
vegetarian,private,91.5,electric,4749,coal,Sometimes,23,15,medium,5,29,frequently,2252
pescatarian,private,69,hybrid,4592,natural gas,Sometimes,13,20,small,7,9,frequently,2543
pescatarian,private,25.5,petrol,2950,electricity,Yes,5,7,large,7,1,very frequently,3772
vegetarian,private,30,electric,5517,natural gas,Yes,0,20,large,4,7,very frequently,2758
omnivore,private,45,petrol,4424,electricity,Yes,11,8,medium,4,23,never,3306
pescatarian,private,33,diesel,4333,coal,Yes,8,6,large,2,8,very frequently,3810
omnivore,private,28.5,electric,1210,electricity,No,7,5,medium,2,27,very frequently,2461
omnivore,private,15,lpg,8105,coal,Yes,3,4,medium,5,35,frequently,4099
vegetarian,private,15,lpg,9007,wood,Yes,1,8,small,1,6,rarely,3358
vegetarian,private,12,lpg,2349,wood,Yes,1,6,small,6,28,rarely,1633
vegetarian,private,51,diesel,486,natural gas,Yes,9,16,extra large,1,3,frequently,1894
omnivore,private,84,diesel,7545,coal,Sometimes,19,18,medium,5,0,frequently,3946
vegetarian,private,30,lpg,8722,natural gas,Sometimes,4,12,large,6,34,very frequently,5964
vegetarian,private,37.5,lpg,3972,natural gas,Yes,1,23,medium,7,9,never,2680
omnivore,private,51,lpg,503,natural gas,Yes,9,16,small,3,39,never,1232
omnivore,private,87,lpg,9232,wood,Sometimes,20,18,extra large,6,42,never,5064
vegan,private,49.5,lpg,3233,natural gas,Sometimes,15,3,medium,4,31,rarely,2633
vegetarian,private,82.5,lpg,6659,wood,No,20,15,extra large,2,25,very frequently,5502
vegan,private,57,hybrid,2054,natural gas,Yes,13,12,small,1,7,very frequently,2751
omnivore,private,66,electric,5095,wood,No,21,2,medium,4,9,frequently,1674
vegetarian,private,90,electric,3850,natural gas,No,21,18,large,5,45,rarely,1961
omnivore,private,42,petrol,6239,coal,Yes,10,8,medium,3,28,rarely,4723
omnivore,private,16.5,petrol,5278,wood,Sometimes,2,7,small,6,33,frequently,5106
pescatarian,private,73.5,hybrid,125,natural gas,No,22,5,small,4,28,never,1268
vegetarian,private,7.5,electric,4458,electricity,Yes,0,5,extra large,5,50,very frequently,2310
pescatarian,private,78,electric,9384,electricity,Yes,23,6,large,2,38,frequently,1861
pescatarian,private,63,hybrid,8101,wood,Yes,12,18,large,3,27,rarely,3397
vegan,private,4.5,diesel,463,wood,No,1,1,extra large,2,44,very frequently,2929
pescatarian,private,48,diesel,8107,electricity,Sometimes,10,12,large,6,34,very frequently,4693
omnivore,private,75,lpg,3470,wood,Yes,17,16,medium,4,46,very frequently,4378
vegan,private,6,hybrid,7656,electricity,Sometimes,0,4,extra large,5,36,very frequently,4633
pescatarian,private,69,lpg,1536,natural gas,Sometimes,23,0,extra large,5,1,never,1518
pescatarian,private,52.5,lpg,3183,electricity,Sometimes,15,5,small,4,7,very frequently,2509
vegan,private,49.5,electric,6192,electricity,Yes,6,21,large,5,26,rarely,1103
omnivore,private,43.5,hybrid,11,wood,No,9,11,small,3,1,rarely,751
pescatarian,private,25.5,lpg,2119,electricity,Sometimes,3,11,large,2,29,rarely,2366
vegan,private,33,hybrid,2180,coal,Yes,4,14,small,4,3,rarely,1781
vegetarian,private,45,petrol,8931,wood,Yes,3,24,large,4,28,very frequently,5517
vegan,private,51,petrol,5095,coal,Yes,10,14,extra large,2,0,very frequently,4320
omnivore,private,40.5,electric,7557,natural gas,No,4,19,medium,4,13,rarely,1489
pescatarian,private,82.5,hybrid,3162,natural gas,No,16,23,extra large,3,27,very frequently,2773
pescatarian,private,40.5,electric,1919,natural gas,Sometimes,2,23,extra large,3,46,never,2253
omnivore,private,66,lpg,7598,natural gas,Sometimes,19,6,small,5,44,never,3590
vegetarian,private,34.5,diesel,7363,wood,Yes,11,1,medium,1,48,rarely,3029
vegetarian,private,45,hybrid,288,coal,Yes,8,14,large,2,21,never,1042
vegetarian,private,16.5,hybrid,4998,electricity,Yes,3,5,large,4,43,rarely,2386
vegetarian,private,82.5,diesel,1340,electricity,Sometimes,24,7,medium,2,26,rarely,1414
vegan,private,19.5,hybrid,9798,electricity,No,1,11,large,6,27,rarely,3170
vegetarian,private,76.5,diesel,1658,natural gas,Yes,18,15,large,3,44,frequently,2228
vegetarian,private,19.5,lpg,5964,natural gas,Sometimes,2,9,extra large,4,37,frequently,3176
vegetarian,private,13.5,hybrid,7304,wood,Sometimes,3,3,large,3,40,frequently,2693
